age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,hours_per_week
43,Private,11th,7,Married_civ_spouse,Transport_moving,Husband,White,Male,40
59,Private,HS_grad,9,Divorced,Tech_support,Unmarried,White,Female,40
56,Local_gov,Bachelors,13,Married_civ_spouse,Tech_support,Husband,White,Male,40
19,Private,HS_grad,9,Never_married,Craft_repair,Own_child,White,Male,40
39,Private,HS_grad,9,Divorced,Exec_managerial,Not_in_family,White,Male,80
49,Private,HS_grad,9,Married_civ_spouse,Craft_repair,Husband,White,Male,40
23,Local_gov,Assoc_acdm,12,Never_married,Protective_serv,Not_in_family,White,Male,52
20,Private,Some_college,10,Never_married,Sales,Own_child,Black,Male,44
45,Private,Bachelors,13,Divorced,Exec_managerial,Own_child,White,Male,40
30,Federal_gov,Some_college,10,Married_civ_spouse,Adm_clerical,Own_child,White,Male,40
22,State_gov,Some_college,10,Married_civ_spouse,Other_service,Husband,Black,Male,15
48,Private,11th,7,Never_married,Machine_op_inspct,Unmarried,White,Male,40
21,Private,Some_college,10,Never_married,Machine_op_inspct,Own_child,White,Male,40
19,Private,HS_grad,9,Married_AF_spouse,Adm_clerical,Wife,White,Female,25
48,Self_emp_not_inc,Assoc_acdm,12,Married_civ_spouse,Prof_specialty,Husband,White,Male,40
31,Private,9th,5,Married_civ_spouse,Machine_op_inspct,Husband,White,Male,43
53,Self_emp_not_inc,Bachelors,13,Married_civ_spouse,Prof_specialty,Husband,White,Male,40
24,Private,Bachelors,13,Married_civ_spouse,Tech_support,Husband,White,Male,50
49,Private,HS_grad,9,Separated,Adm_clerical,Unmarried,White,Female,40
25,Private,HS_grad,9,Never_married,Handlers_cleaners,Not_in_family,White,Male,35
57,Federal_gov,Bachelors,13,Married_civ_spouse,Prof_specialty,Husband,Black,Male,40
53,Private,HS_grad,9,Married_civ_spouse,Machine_op_inspct,Husband,White,Male,38
44,Private,Masters,14,Divorced,Exec_managerial,Unmarried,White,Female,40
41,State_gov,Assoc_voc,11,Married_civ_spouse,Craft_repair,Husband,White,Male,40
29,Private,Assoc_voc,11,Never_married,Prof_specialty,Not_in_family,White,Male,43
25,Private,Some_college,10,Married_civ_spouse,Exec_managerial,Wife,Other,Female,40
47,Private,Prof_school,15,Married_civ_spouse,Prof_specialty,Wife,White,Female,60
50,Federal_gov,Bachelors,13,Divorced,Exec_managerial,Not_in_family,White,Male,55
47,Self_emp_inc,HS_grad,9,Divorced,Exec_managerial,Not_in_family,White,Male,60
43,Private,Some_college,10,Married_civ_spouse,Tech_support,Husband,White,Male,40
46,Private,5th_6th,3,Married_civ_spouse,Machine_op_inspct,Husband,White,Male,40
35,Private,Assoc_voc,11,Married_civ_spouse,Other_service,Husband,White,Male,40
41,Private,HS_grad,9,Married_civ_spouse,Adm_clerical,Husband,White,Male,48
30,Private,HS_grad,9,Married_civ_spouse,Machine_op_inspct,Husband,White,Male,40
30,Private,Bachelors,13,Married_civ_spouse,Sales,Husband,White,Male,40
48,Private,HS_grad,9,Married_civ_spouse,Transport_moving,Husband,White,Male,40
42,Private,Doctorate,16,Married_civ_spouse,Prof_specialty,Husband,White,Male,45
29,Private,Some_college,10,Divorced,Tech_support,Not_in_family,White,Male,58
36,Private,HS_grad,9,Married_civ_spouse,Craft_repair,Husband,White,Male,40
28,Private,Some_college,10,Divorced,Adm_clerical,Not_in_family,White,Female,40
53,Private,HS_grad,9,Married_civ_spouse,Adm_clerical,Wife,White,Female,40
49,Self_emp_inc,Some_college,10,Married_civ_spouse,Exec_managerial,Husband,White,Male,50
19,Private,Some_college,10,Never_married,Prof_specialty,Own_child,White,Male,32
31,Private,Bachelors,13,Separated,Sales,Own_child,Black,Female,40
29,Self_emp_not_inc,Bachelors,13,Married_civ_spouse,Sales,Husband,White,Male,70
23,Private,Some_college,10,Never_married,Machine_op_inspct,Not_in_family,White,Male,40
79,Private,Some_college,10,Married_civ_spouse,Prof_specialty,Other_relative,White,Male,20
27,Private,HS_grad,9,Never_married,Other_service,Own_child,White,Male,40
40,Private,Assoc_acdm,12,Married_civ_spouse,Adm_clerical,Husband,White,Male,40
18,Private,11th,7,Never_married,Other_service,Own_child,White,Female,22
31,Local_gov,7th_8th,4,Married_civ_spouse,Farming_fishing,Husband,White,Male,40
18,Private,HS_grad,9,Never_married,Sales,Not_in_family,White,Male,30
52,Private,Bachelors,13,Married_civ_spouse,Other_service,Husband,White,Male,40
46,Private,HS_grad,9,Married_civ_spouse,Other_service,Wife,White,Female,40
59,Private,HS_grad,9,Married_civ_spouse,Sales,Husband,White,Male,48
44,Private,HS_grad,9,Divorced,Craft_repair,Not_in_family,White,Female,40
53,Private,HS_grad,9,Divorced,Sales,Own_child,White,Female,35
49,Local_gov,HS_grad,9,Married_civ_spouse,Protective_serv,Husband,White,Male,40
33,Private,Masters,14,Married_civ_spouse,Prof_specialty,Husband,White,Male,50
30,Private,9th,5,Never_married,Sales,Not_in_family,White,Male,40
43,Federal_gov,Doctorate,16,Never_married,Prof_specialty,Not_in_family,White,Female,50
57,Private,Assoc_voc,11,Married_civ_spouse,Prof_specialty,Husband,White,Male,40
37,Private,Some_college,10,Divorced,Craft_repair,Unmarried,White,Female,40
28,Private,Some_college,10,Divorced,Machine_op_inspct,Unmarried,Black,Female,25
34,Local_gov,Bachelors,13,Married_civ_spouse,Protective_serv,Husband,White,Male,40
29,Local_gov,Some_college,10,Never_married,Handlers_cleaners,Not_in_family,White,Male,50
48,Self_emp_not_inc,Doctorate,16,Married_civ_spouse,Prof_specialty,Husband,White,Male,60
37,Private,Some_college,10,Married_civ_spouse,Sales,Husband,White,Male,48
48,Private,Assoc_acdm,12,Divorced,Exec_managerial,Unmarried,White,Female,40
32,Federal_gov,HS_grad,9,Never_married,Other_service,Own_child,Black,Male,40
76,Private,Masters,14,Married_civ_spouse,Exec_managerial,Husband,White,Male,40
44,Private,Bachelors,13,Married_civ_spouse,Exec_managerial,Husband,White,Male,60
47,Self_emp_not_inc,Masters,14,Never_married,Prof_specialty,Not_in_family,White,Female,50
20,Private,Some_college,10,Never_married,Tech_support,Own_child,White,Female,40
29,Private,HS_grad,9,Never_married,Craft_repair,Not_in_family,White,Male,40
32,Self_emp_inc,HS_grad,9,Married_civ_spouse,Craft_repair,Husband,White,Male,40
30,Private,11th,7,Never_married,Handlers_cleaners,Own_child,White,Male,40
31,Local_gov,HS_grad,9,Never_married,Adm_clerical,Not_in_family,White,Female,40
42,Private,HS_grad,9,Married_civ_spouse,Handlers_cleaners,Husband,White,Male,40
24,Private,Bachelors,13,Never_married,Sales,Other_relative,White,Male,40
38,Private,Prof_school,15,Married_civ_spouse,Prof_specialty,Husband,White,Male,40
56,Self_emp_not_inc,HS_grad,9,Married_civ_spouse,Other_service,Husband,White,Male,50
28,Private,Some_college,10,Married_civ_spouse,Sales,Wife,White,Female,25
36,Private,HS_grad,9,Never_married,Machine_op_inspct,Own_child,White,Female,40
53,Private,9th,5,Married_civ_spouse,Handlers_cleaners,Husband,White,Male,50
56,Self_emp_inc,Some_college,10,Married_civ_spouse,Sales,Husband,White,Male,50
49,Local_gov,Assoc_voc,11,Married_civ_spouse,Craft_repair,Husband,Black,Male,40
55,Private,Some_college,10,Married_civ_spouse,Sales,Husband,White,Male,56
22,Private,HS_grad,9,Never_married,Craft_repair,Not_in_family,White,Male,41
21,Private,Some_college,10,Never_married,Other_service,Own_child,White,Female,40
40,Private,Bachelors,13,Married_civ_spouse,Exec_managerial,Husband,White,Male,60
30,Private,Bachelors,13,Never_married,Exec_managerial,Own_child,Black,Male,40
29,State_gov,Bachelors,13,Married_civ_spouse,Prof_specialty,Husband,White,Male,50
19,Private,Some_college,10,Never_married,Other_service,Own_child,Black,Male,35
47,Private,Bachelors,13,Married_civ_spouse,Exec_managerial,Wife,White,Female,40
20,Private,Some_college,10,Never_married,Adm_clerical,Own_child,White,Female,28
31,Private,Assoc_acdm,12,Married_civ_spouse,Adm_clerical,Husband,White,Male,40
39,Private,Some_college,10,Divorced,Craft_repair,Not_in_family,White,Male,40
28,Private,Assoc_acdm,12,Never_married,Sales,Not_in_family,White,Female,60
24,Private,HS_grad,9,Never_married,Other_service,Not_in_family,White,Female,40
38,Self_emp_not_inc,HS_grad,9,Married_civ_spouse,Craft_repair,Husband,White,Male,35
37,Private,Bachelors,13,Married_civ_spouse,Sales,Husband,White,Male,50
46,Private,Assoc_acdm,12,Divorced,Tech_support,Not_in_family,Black,Female,36
38,Federal_gov,Masters,14,Married_civ_spouse,Prof_specialty,Husband,White,Male,40
43,Self_emp_not_inc,HS_grad,9,Married_civ_spouse,Craft_repair,Husband,White,Male,60
27,Private,Assoc_voc,11,Married_civ_spouse,Adm_clerical,Wife,White,Female,35
20,Private,Some_college,10,Never_married,Sales,Own_child,White,Male,20
49,Private,Some_college,10,Married_civ_spouse,Craft_repair,Husband,Asian_Pac_Islander,Male,40
61,Self_emp_inc,HS_grad,9,Married_civ_spouse,Craft_repair,Husband,White,Male,40
27,Private,Some_college,10,Never_married,Sales,Own_child,White,Female,40
19,Private,Some_college,10,Never_married,Other_service,Own_child,White,Male,30
45,Private,Assoc_voc,11,Never_married,Prof_specialty,Not_in_family,White,Female,40
70,Private,Some_college,10,Never_married,Tech_support,Other_relative,White,Male,40
31,Private,HS_grad,9,Never_married,Transport_moving,Unmarried,Black,Female,30
22,Private,Some_college,10,Married_civ_spouse,Other_service,Husband,White,Male,24
36,Private,HS_grad,9,Widowed,Other_service,Unmarried,White,Female,24
64,Private,11th,7,Married_civ_spouse,Craft_repair,Husband,White,Male,40
47,Local_gov,Some_college,10,Divorced,Adm_clerical,Unmarried,White,Female,38
34,Private,HS_grad,9,Never_married,Adm_clerical,Not_in_family,White,Female,40
33,Private,Bachelors,13,Never_married,Exec_managerial,Other_relative,Asian_Pac_Islander,Female,40
21,Private,HS_grad,9,Never_married,Craft_repair,Own_child,White,Male,35
48,Private,HS_grad,9,Married_civ_spouse,Craft_repair,Husband,White,Male,46
23,Private,Bachelors,13,Never_married,Handlers_cleaners,Not_in_family,White,Male,40
71,Self_emp_not_inc,Some_college,10,Separated,Sales,Unmarried,Black,Male,2
29,Private,HS_grad,9,Divorced,Craft_repair,Not_in_family,White,Male,60
42,Private,Bachelors,13,Separated,Other_service,Other_relative,Black,Male,50
25,Private,HS_grad,9,Never_married,Other_service,Unmarried,White,Female,40
44,Self_emp_inc,Masters,14,Divorced,Exec_managerial,Unmarried,Asian_Pac_Islander,Female,40
28,Private,HS_grad,9,Never_married,Exec_managerial,Not_in_family,Asian_Pac_Islander,Female,40
45,Self_emp_not_inc,Masters,14,Married_civ_spouse,Sales,Husband,White,Male,40
36,Private,Some_college,10,Divorced,Other_service,Unmarried,White,Female,40
39,Federal_gov,Assoc_acdm,12,Never_married,Exec_managerial,Not_in_family,White,Male,42
46,State_gov,Masters,14,Widowed,Protective_serv,Unmarried,White,Male,40
18,Private,11th,7,Never_married,Handlers_cleaners,Own_child,White,Male,16
66,Local_gov,Assoc_voc,11,Widowed,Prof_specialty,Not_in_family,White,Female,20
27,Private,HS_grad,9,Never_married,Other_service,Not_in_family,White,Male,40
28,State_gov,HS_grad,9,Married_civ_spouse,Protective_serv,Husband,White,Male,40
51,Private,Some_college,10,Married_civ_spouse,Sales,Husband,White,Male,40
27,Private,Bachelors,13,Never_married,Craft_repair,Not_in_family,White,Male,50
28,State_gov,Bachelors,13,Married_civ_spouse,Prof_specialty,Husband,White,Male,40
27,Private,HS_grad,9,Married_spouse_absent,Sales,Unmarried,White,Female,25
21,Private,HS_grad,9,Never_married,Craft_repair,Own_child,Black,Male,40
34,Private,HS_grad,9,Never_married,Handlers_cleaners,Not_in_family,Black,Male,40
18,Private,HS_grad,9,Never_married,Other_service,Own_child,White,Male,12
33,Private,Bachelors,13,Married_civ_spouse,Prof_specialty,Husband,White,Male,65
44,Local_gov,Some_college,10,Married_civ_spouse,Exec_managerial,Husband,Black,Male,38
43,Private,Some_college,10,Divorced,Adm_clerical,Not_in_family,White,Female,40
30,Private,Some_college,10,Never_married,Craft_repair,Not_in_family,Black,Male,45
40,Private,7th_8th,4,Married_civ_spouse,Machine_op_inspct,Husband,White,Male,40
37,Federal_gov,Some_college,10,Married_civ_spouse,Adm_clerical,Husband,White,Male,42
34,Private,HS_grad,9,Married_civ_spouse,Adm_clerical,Husband,Black,Male,40
41,Self_emp_not_inc,Bachelors,13,Divorced,Exec_managerial,Not_in_family,White,Female,40
31,Private,Masters,14,Married_civ_spouse,Prof_specialty,Wife,White,Female,50
58,State_gov,Doctorate,16,Married_civ_spouse,Prof_specialty,Husband,White,Male,1
38,Private,Some_college,10,Divorced,Machine_op_inspct,Not_in_family,Black,Female,28
24,Private,Some_college,10,Married_civ_spouse,Machine_op_inspct,Husband,White,Male,40
41,Local_gov,Bachelors,13,Married_civ_spouse,Craft_repair,Husband,Black,Male,40
47,Private,Some_college,10,Married_civ_spouse,Tech_support,Husband,White,Male,45
41,Federal_gov,Bachelors,13,Married_civ_spouse,Tech_support,Husband,White,Male,24
23,Private,5th_6th,3,Married_civ_spouse,Transport_moving,Other_relative,White,Male,40
36,Private,Some_college,10,Divorced,Craft_repair,Not_in_family,White,Male,40
40,Federal_gov,Masters,14,Never_married,Exec_managerial,Not_in_family,White,Female,55
35,Private,Masters,14,Married_civ_spouse,Prof_specialty,Other_relative,White,Male,40
24,Self_emp_not_inc,HS_grad,9,Never_married,Sales,Not_in_family,White,Male,40
26,Private,Masters,14,Never_married,Prof_specialty,Not_in_family,White,Female,40
51,Private,Bachelors,13,Married_civ_spouse,Exec_managerial,Husband,White,Male,50
42,Local_gov,Some_college,10,Never_married,Prof_specialty,Not_in_family,White,Female,40
37,State_gov,HS_grad,9,Divorced,Adm_clerical,Unmarried,White,Female,35
18,Private,11th,7,Never_married,Sales,Own_child,White,Female,40
36,Private,Bachelors,13,Married_civ_spouse,Other_service,Husband,Black,Male,36
35,Private,HS_grad,9,Divorced,Craft_repair,Not_in_family,White,Male,60
58,Self_emp_inc,HS_grad,9,Married_civ_spouse,Sales,Wife,White,Female,35
17,Private,11th,7,Never_married,Sales,Own_child,White,Female,12
44,Local_gov,HS_grad,9,Married_civ_spouse,Transport_moving,Husband,Black,Male,40
37,Private,HS_grad,9,Married_civ_spouse,Craft_repair,Husband,White,Male,40
35,Private,Some_college,10,Never_married,Sales,Not_in_family,Amer_Indian_Eskimo,Female,40
60,Private,HS_grad,9,Married_civ_spouse,Craft_repair,Husband,Asian_Pac_Islander,Male,40
54,Self_emp_inc,7th_8th,4,Married_civ_spouse,Machine_op_inspct,Husband,White,Male,40
37,Private,Bachelors,13,Never_married,Exec_managerial,Not_in_family,Black,Male,60
50,Private,Assoc_acdm,12,Divorced,Sales,Not_in_family,White,Female,40
38,Private,Bachelors,13,Married_civ_spouse,Sales,Husband,White,Male,50
45,Private,Bachelors,13,Married_civ_spouse,Prof_specialty,Husband,White,Male,55
25,Private,10th,6,Never_married,Craft_repair,Not_in_family,White,Male,40
31,Private,Some_college,10,Married_civ_spouse,Handlers_cleaners,Husband,White,Male,40
90,Private,HS_grad,9,Never_married,Other_service,Not_in_family,Black,Male,40
54,Private,HS_grad,9,Married_civ_spouse,Adm_clerical,Husband,Black,Male,20
53,Local_gov,Preschool,1,Never_married,Machine_op_inspct,Not_in_family,White,Female,35
18,Private,HS_grad,9,Never_married,Sales,Own_child,White,Female,40
66,Self_emp_not_inc,HS_grad,9,Married_civ_spouse,Farming_fishing,Husband,White,Male,50
75,Private,Assoc_voc,11,Widowed,Adm_clerical,Not_in_family,White,Female,20
65,Private,HS_grad,9,Divorced,Adm_clerical,Not_in_family,White,Female,40
35,Private,11th,7,Separated,Transport_moving,Not_in_family,Black,Male,40
41,Private,HS_grad,9,Divorced,Sales,Unmarried,Black,Female,38
25,Private,Some_college,10,Never_married,Adm_clerical,Not_in_family,White,Male,42
33,Private,Some_college,10,Divorced,Craft_repair,Other_relative,Other,Female,40
28,Private,Prof_school,15,Never_married,Prof_specialty,Not_in_family,White,Male,55
59,State_gov,HS_grad,9,Married_civ_spouse,Other_service,Husband,White,Male,40
40,State_gov,Some_college,10,Never_married,Adm_clerical,Not_in_family,White,Female,38
41,Private,Bachelors,13,Married_civ_spouse,Exec_managerial,Husband,White,Male,50
38,Local_gov,Masters,14,Married_civ_spouse,Exec_managerial,Husband,White,Male,70
23,Private,HS_grad,9,Never_married,Transport_moving,Own_child,White,Male,40
40,Private,Bachelors,13,Married_civ_spouse,Prof_specialty,Husband,White,Male,40
41,Self_emp_not_inc,HS_grad,9,Married_civ_spouse,Other_service,Wife,White,Female,20
24,State_gov,Assoc_acdm,12,Married_civ_spouse,Protective_serv,Husband,White,Male,50
38,Private,Some_college,10,Divorced,Craft_repair,Not_in_family,White,Male,40
58,Private,HS_grad,9,Married_civ_spouse,Adm_clerical,Husband,White,Male,45
32,Private,HS_grad,9,Never_married,Other_service,Not_in_family,White,Female,34
40,Private,Assoc_acdm,12,Married_civ_spouse,Tech_support,Husband,White,Male,60
41,Private,Prof_school,15,Married_civ_spouse,Prof_specialty,Wife,White,Female,40
42,Private,Bachelors,13,Married_civ_spouse,Adm_clerical,Wife,Black,Female,40
59,Local_gov,10th,6,Widowed,Other_service,Unmarried,Black,Female,30
19,Local_gov,Some_college,10,Never_married,Adm_clerical,Own_child,White,Male,40
58,Private,Some_college,10,Never_married,Transport_moving,Not_in_family,White,Male,20
42,Self_emp_not_inc,HS_grad,9,Married_civ_spouse,Farming_fishing,Husband,Asian_Pac_Islander,Male,40
20,Private,HS_grad,9,Never_married,Other_service,Own_child,White,Female,40
32,Private,HS_grad,9,Separated,Other_service,Not_in_family,White,Female,30
45,Private,Assoc_voc,11,Widowed,Exec_managerial,Not_in_family,White,Female,45
50,Private,7th_8th,4,Divorced,Craft_repair,Not_in_family,White,Male,40
36,Private,Bachelors,13,Divorced,Prof_specialty,Own_child,White,Female,40
45,Private,HS_grad,9,Married_civ_spouse,Sales,Husband,White,Male,60
17,Private,11th,7,Never_married,Other_service,Own_child,White,Male,12
59,Private,Some_college,10,Married_civ_spouse,Sales,Husband,White,Male,40
26,Private,11th,7,Married_civ_spouse,Craft_repair,Husband,White,Male,40
37,Self_emp_inc,Some_college,10,Married_civ_spouse,Exec_managerial,Husband,Asian_Pac_Islander,Male,75
64,Private,HS_grad,9,Married_civ_spouse,Exec_managerial,Husband,White,Male,40
33,Private,Bachelors,13,Never_married,Prof_specialty,Not_in_family,White,Female,45
33,Private,HS_grad,9,Married_civ_spouse,Craft_repair,Wife,White,Female,40
61,Private,HS_grad,9,Married_civ_spouse,Exec_managerial,Husband,White,Male,40
17,Private,9th,5,Never_married,Other_service,Own_child,White,Male,24
50,Self_emp_not_inc,Masters,14,Married_civ_spouse,Farming_fishing,Husband,White,Male,98
27,Local_gov,Masters,14,Never_married,Prof_specialty,Own_child,White,Male,35
30,Private,HS_grad,9,Divorced,Prof_specialty,Own_child,White,Female,40
43,Private,HS_grad,9,Married_civ_spouse,Handlers_cleaners,Husband,Black,Male,40
44,Private,Some_college,10,Married_civ_spouse,Craft_repair,Husband,White,Male,40
35,Private,Some_college,10,Never_married,Exec_managerial,Not_in_family,White,Female,40
25,Private,Some_college,10,Never_married,Tech_support,Own_child,White,Female,40
24,Private,Some_college,10,Married_civ_spouse,Machine_op_inspct,Wife,White,Female,48
22,Private,Bachelors,13,Never_married,Prof_specialty,Not_in_family,White,Female,15
42,Local_gov,Some_college,10,Married_civ_spouse,Craft_repair,Husband,White,Male,40
34,Private,Assoc_acdm,12,Divorced,Sales,Unmarried,Black,Female,45
60,Private,Bachelors,13,Divorced,Prof_specialty,Not_in_family,White,Female,42
21,Private,HS_grad,9,Never_married,Handlers_cleaners,Own_child,White,Male,40
57,Federal_gov,Masters,14,Married_civ_spouse,Sales,Husband,White,Male,40
41,Private,Prof_school,15,Married_civ_spouse,Prof_specialty,Husband,White,Male,60
50,Private,Some_college,10,Divorced,Other_service,Not_in_family,White,Male,45
25,Private,Bachelors,13,Never_married,Exec_managerial,Not_in_family,White,Female,40
50,Private,7th_8th,4,Married_civ_spouse,Craft_repair,Husband,White,Male,40
36,Private,Bachelors,13,Married_civ_spouse,Prof_specialty,Husband,White,Male,45
31,Private,HS_grad,9,Divorced,Prof_specialty,Not_in_family,White,Female,40
29,Local_gov,Bachelors,13,Never_married,Protective_serv,Not_in_family,White,Male,56
21,Private,Some_college,10,Never_married,Sales,Own_child,White,Male,45
27,Private,Bachelors,13,Never_married,Tech_support,Unmarried,Black,Female,40
65,Private,HS_grad,9,Married_civ_spouse,Transport_moving,Husband,White,Male,16
37,Self_emp_inc,Bachelors,13,Divorced,Sales,Not_in_family,White,Female,60
24,Private,HS_grad,9,Never_married,Craft_repair,Own_child,White,Male,40
38,Private,HS_grad,9,Divorced,Sales,Not_in_family,White,Male,80
48,Private,Bachelors,13,Married_civ_spouse,Adm_clerical,Husband,White,Male,40
21,Private,Some_college,10,Never_married,Other_service,Not_in_family,Asian_Pac_Islander,Female,25
31,Private,HS_grad,9,Married_civ_spouse,Transport_moving,Husband,White,Male,45
55,Private,HS_grad,9,Married_civ_spouse,Sales,Husband,White,Male,40
24,Private,Some_college,10,Married_civ_spouse,Adm_clerical,Wife,Asian_Pac_Islander,Female,40
43,Private,HS_grad,9,Divorced,Adm_clerical,Not_in_family,White,Female,40
26,Private,Assoc_acdm,12,Never_married,Tech_support,Not_in_family,White,Male,45
46,Private,Assoc_acdm,12,Never_married,Prof_specialty,Not_in_family,White,Female,33
35,Private,Assoc_acdm,12,Married_civ_spouse,Adm_clerical,Husband,White,Male,40
41,Self_emp_inc,Some_college,10,Married_civ_spouse,Farming_fishing,Husband,White,Male,54
26,Private,Bachelors,13,Never_married,Sales,Not_in_family,White,Male,40
34,Private,Masters,14,Married_civ_spouse,Exec_managerial,Husband,Asian_Pac_Islander,Male,35
36,Self_emp_not_inc,Bachelors,13,Divorced,Prof_specialty,Not_in_family,Black,Female,40
22,Private,Some_college,10,Never_married,Sales,Own_child,White,Male,15
24,Private,Some_college,10,Never_married,Machine_op_inspct,Not_in_family,White,Male,40
77,Self_emp_not_inc,Some_college,10,Married_civ_spouse,Sales,Husband,White,Male,40
22,Private,5th_6th,3,Married_civ_spouse,Machine_op_inspct,Other_relative,White,Female,40
29,Private,Some_college,10,Never_married,Tech_support,Not_in_family,White,Female,40
62,Private,HS_grad,9,Widowed,Other_service,Not_in_family,White,Female,24
39,Self_emp_not_inc,HS_grad,9,Married_civ_spouse,Exec_managerial,Husband,White,Male,40
43,Private,Some_college,10,Married_civ_spouse,Craft_repair,Husband,White,Male,50
35,Private,HS_grad,9,Divorced,Transport_moving,Not_in_family,White,Male,45
29,Private,11th,7,Never_married,Exec_managerial,Not_in_family,White,Female,40
76,Self_emp_not_inc,Masters,14,Married_civ_spouse,Craft_repair,Husband,White,Male,10
63,Self_emp_not_inc,HS_grad,9,Married_civ_spouse,Farming_fishing,Husband,White,Male,45
43,Private,Some_college,10,Married_civ_spouse,Prof_specialty,Wife,White,Female,50
58,Self_emp_not_inc,HS_grad,9,Married_civ_spouse,Handlers_cleaners,Husband,White,Male,40
66,Private,HS_grad,9,Never_married,Transport_moving,Not_in_family,White,Male,55
41,Private,Some_college,10,Never_married,Craft_repair,Not_in_family,Black,Male,45
26,Private,Bachelors,13,Never_married,Adm_clerical,Not_in_family,White,Male,40
47,Private,Assoc_voc,11,Never_married,Other_service,Not_in_family,White,Male,40
55,Local_gov,10th,6,Married_civ_spouse,Adm_clerical,Husband,White,Male,40
53,Private,HS_grad,9,Married_civ_spouse,Transport_moving,Husband,White,Male,40
17,Private,5th_6th,3,Never_married,Other_service,Other_relative,White,Male,48
30,Private,HS_grad,9,Never_married,Craft_repair,Other_relative,White,Male,40
49,Private,Masters,14,Never_married,Prof_specialty,Not_in_family,White,Male,60
19,Private,HS_grad,9,Never_married,Sales,Unmarried,Black,Male,30
45,Private,HS_grad,9,Married_civ_spouse,Other_service,Husband,Black,Male,40
26,Private,Assoc_acdm,12,Never_married,Sales,Not_in_family,White,Male,40
38,Private,Assoc_voc,11,Married_civ_spouse,Craft_repair,Husband,White,Male,40
36,State_gov,HS_grad,9,Married_civ_spouse,Protective_serv,Husband,White,Male,40
33,Private,HS_grad,9,Never_married,Farming_fishing,Not_in_family,White,Male,20
22,State_gov,Some_college,10,Never_married,Protective_serv,Own_child,Black,Female,40
43,Self_emp_not_inc,Bachelors,13,Never_married,Sales,Not_in_family,White,Male,42
56,Private,Assoc_acdm,12,Married_spouse_absent,Other_service,Not_in_family,White,Male,25
31,Private,Bachelors,13,Never_married,Prof_specialty,Own_child,White,Male,25
33,Private,Bachelors,13,Married_civ_spouse,Exec_managerial,Husband,White,Male,40
26,Private,HS_grad,9,Married_civ_spouse,Other_service,Husband,White,Male,40
33,Private,Bachelors,13,Married_civ_spouse,Exec_managerial,Husband,White,Male,40
46,Local_gov,11th,7,Married_civ_spouse,Transport_moving,Husband,White,Male,30
38,Federal_gov,HS_grad,9,Married_civ_spouse,Adm_clerical,Husband,White,Male,40
65,Private,11th,7,Widowed,Other_service,Unmarried,Other,Male,40
40,Private,Assoc_voc,11,Married_civ_spouse,Tech_support,Husband,White,Male,40
42,Private,HS_grad,9,Married_civ_spouse,Adm_clerical,Wife,White,Female,35
26,Self_emp_not_inc,9th,5,Married_civ_spouse,Craft_repair,Husband,White,Male,40
36,Private,10th,6,Married_civ_spouse,Other_service,Wife,White,Female,24
62,Private,Masters,14,Married_civ_spouse,Prof_specialty,Husband,White,Male,40
43,Private,Bachelors,13,Married_civ_spouse,Transport_moving,Husband,White,Male,45
43,Private,Bachelors,13,Divorced,Exec_managerial,Not_in_family,White,Male,45
22,Private,HS_grad,9,Married_spouse_absent,Sales,Not_in_family,White,Male,55
