education,education_num,occupation,hours_per_week,label
Assoc_acdm,12,Sales,60,0
HS_grad,9,Other_service,40,0
HS_grad,9,Craft_repair,35,0
Bachelors,13,Sales,50,0
Assoc_acdm,12,Tech_support,36,0
Masters,14,Prof_specialty,40,1
HS_grad,9,Craft_repair,60,0
Assoc_voc,11,Adm_clerical,35,0
Some_college,10,Sales,20,0
Some_college,10,Craft_repair,40,1
HS_grad,9,Craft_repair,40,0
Some_college,10,Sales,40,0
Some_college,10,Other_service,30,0
Assoc_voc,11,Prof_specialty,40,1
Some_college,10,Tech_support,40,0
HS_grad,9,Transport_moving,30,0
Some_college,10,Other_service,24,0
HS_grad,9,Other_service,24,0
11th,7,Craft_repair,40,0
Some_college,10,Adm_clerical,38,0
HS_grad,9,Adm_clerical,40,0
Bachelors,13,Exec_managerial,40,0
HS_grad,9,Craft_repair,35,0
HS_grad,9,Craft_repair,46,0
Bachelors,13,Handlers_cleaners,40,0
Some_college,10,Sales,2,0
HS_grad,9,Craft_repair,60,0
Bachelors,13,Other_service,50,0
HS_grad,9,Other_service,40,0
Masters,14,Exec_managerial,40,0
HS_grad,9,Exec_managerial,40,0
Masters,14,Sales,40,1
Some_college,10,Other_service,40,0
Assoc_acdm,12,Exec_managerial,42,0
Masters,14,Protective_serv,40,0
11th,7,Handlers_cleaners,16,0
Assoc_voc,11,Prof_specialty,20,0
HS_grad,9,Other_service,40,0
HS_grad,9,Protective_serv,40,0
Some_college,10,Sales,40,1
Bachelors,13,Craft_repair,50,0
Bachelors,13,Prof_specialty,40,1
HS_grad,9,Sales,25,0
HS_grad,9,Craft_repair,40,0
HS_grad,9,Handlers_cleaners,40,0
HS_grad,9,Other_service,12,0
Bachelors,13,Prof_specialty,65,0
Some_college,10,Exec_managerial,38,1
Some_college,10,Adm_clerical,40,0
Some_college,10,Craft_repair,45,0
7th_8th,4,Machine_op_inspct,40,1
Some_college,10,Adm_clerical,42,1
HS_grad,9,Adm_clerical,40,0
Bachelors,13,Exec_managerial,40,0
Masters,14,Prof_specialty,50,0
Doctorate,16,Prof_specialty,1,1
Some_college,10,Machine_op_inspct,28,0
Some_college,10,Machine_op_inspct,40,0
Bachelors,13,Craft_repair,40,0
Some_college,10,Tech_support,45,0
Bachelors,13,Tech_support,24,0
5th_6th,3,Transport_moving,40,0
Some_college,10,Craft_repair,40,0
Masters,14,Exec_managerial,55,1
Masters,14,Prof_specialty,40,1
HS_grad,9,Sales,40,0
Masters,14,Prof_specialty,40,0
Bachelors,13,Exec_managerial,50,1
Some_college,10,Prof_specialty,40,0
HS_grad,9,Adm_clerical,35,0
11th,7,Sales,40,0
Bachelors,13,Other_service,36,1
HS_grad,9,Craft_repair,60,0
HS_grad,9,Sales,35,1
11th,7,Sales,12,0
HS_grad,9,Transport_moving,40,0
HS_grad,9,Craft_repair,40,1
Some_college,10,Sales,40,0
HS_grad,9,Craft_repair,40,0
7th_8th,4,Machine_op_inspct,40,1
Bachelors,13,Exec_managerial,60,1
Assoc_acdm,12,Sales,40,0
Bachelors,13,Sales,50,0
Bachelors,13,Prof_specialty,55,0
10th,6,Craft_repair,40,0
Some_college,10,Handlers_cleaners,40,0
HS_grad,9,Other_service,40,0
HS_grad,9,Adm_clerical,20,0
Preschool,1,Machine_op_inspct,35,0
HS_grad,9,Sales,40,0
HS_grad,9,Farming_fishing,50,0
Assoc_voc,11,Adm_clerical,20,0
HS_grad,9,Adm_clerical,40,0
11th,7,Transport_moving,40,0
HS_grad,9,Sales,38,0
Some_college,10,Adm_clerical,42,0
Some_college,10,Craft_repair,40,0
Prof_school,15,Prof_specialty,55,1
HS_grad,9,Other_service,40,0
Some_college,10,Adm_clerical,38,0
Bachelors,13,Exec_managerial,50,1
Masters,14,Exec_managerial,70,1
HS_grad,9,Transport_moving,40,0
Bachelors,13,Prof_specialty,40,1
HS_grad,9,Other_service,20,0
Assoc_acdm,12,Protective_serv,50,0
Some_college,10,Craft_repair,40,0
HS_grad,9,Adm_clerical,45,1
HS_grad,9,Other_service,34,0
Assoc_acdm,12,Tech_support,60,1
Prof_school,15,Prof_specialty,40,1
Bachelors,13,Adm_clerical,40,0
10th,6,Other_service,30,0
Some_college,10,Adm_clerical,40,0
Some_college,10,Transport_moving,20,0
HS_grad,9,Farming_fishing,40,1
HS_grad,9,Other_service,40,0
HS_grad,9,Other_service,30,0
Assoc_voc,11,Exec_managerial,45,0
7th_8th,4,Craft_repair,40,0
Bachelors,13,Prof_specialty,40,0
HS_grad,9,Sales,60,0
11th,7,Other_service,12,0
Some_college,10,Sales,40,0
11th,7,Craft_repair,40,0
Some_college,10,Exec_managerial,75,1
HS_grad,9,Exec_managerial,40,1
Bachelors,13,Prof_specialty,45,0
HS_grad,9,Craft_repair,40,1
HS_grad,9,Exec_managerial,40,1
9th,5,Other_service,24,0
Masters,14,Farming_fishing,98,0
Masters,14,Prof_specialty,35,0
HS_grad,9,Prof_specialty,40,0
HS_grad,9,Handlers_cleaners,40,0
Some_college,10,Craft_repair,40,1
Some_college,10,Exec_managerial,40,0
Some_college,10,Tech_support,40,0
Some_college,10,Machine_op_inspct,48,1
Bachelors,13,Prof_specialty,15,0
Some_college,10,Craft_repair,40,1
Assoc_acdm,12,Sales,45,0
Bachelors,13,Prof_specialty,42,0
HS_grad,9,Handlers_cleaners,40,0
Masters,14,Sales,40,1
Prof_school,15,Prof_specialty,60,1
Some_college,10,Other_service,45,0
Bachelors,13,Exec_managerial,40,0
7th_8th,4,Craft_repair,40,0
Bachelors,13,Prof_specialty,45,0
HS_grad,9,Prof_specialty,40,0
Bachelors,13,Protective_serv,56,0
Some_college,10,Sales,45,0
Bachelors,13,Tech_support,40,0
HS_grad,9,Transport_moving,16,0
Bachelors,13,Sales,60,0
HS_grad,9,Craft_repair,40,0
HS_grad,9,Sales,80,0
Bachelors,13,Adm_clerical,40,1
Some_college,10,Other_service,25,0
HS_grad,9,Transport_moving,45,1
HS_grad,9,Sales,40,1
Some_college,10,Adm_clerical,40,0
HS_grad,9,Adm_clerical,40,0
Assoc_acdm,12,Tech_support,45,0
Assoc_acdm,12,Prof_specialty,33,0
Assoc_acdm,12,Adm_clerical,40,1
Some_college,10,Farming_fishing,54,1
Bachelors,13,Sales,40,0
Masters,14,Exec_managerial,35,1
Bachelors,13,Prof_specialty,40,1
Some_college,10,Sales,15,0
Some_college,10,Machine_op_inspct,40,0
Some_college,10,Sales,40,0
5th_6th,3,Machine_op_inspct,40,0
Some_college,10,Tech_support,40,0
HS_grad,9,Other_service,24,0
HS_grad,9,Exec_managerial,40,0
Some_college,10,Craft_repair,50,0
HS_grad,9,Transport_moving,45,0
11th,7,Exec_managerial,40,0
Masters,14,Craft_repair,10,0
HS_grad,9,Farming_fishing,45,0
Some_college,10,Prof_specialty,50,1
HS_grad,9,Handlers_cleaners,40,0
HS_grad,9,Transport_moving,55,0
Some_college,10,Craft_repair,45,0
Bachelors,13,Adm_clerical,40,0
Assoc_voc,11,Other_service,40,0
10th,6,Adm_clerical,40,0
HS_grad,9,Transport_moving,40,0
5th_6th,3,Other_service,48,0
HS_grad,9,Craft_repair,40,0
Masters,14,Prof_specialty,60,0
HS_grad,9,Sales,30,0
HS_grad,9,Other_service,40,0
Assoc_acdm,12,Sales,40,0
Assoc_voc,11,Craft_repair,40,1
HS_grad,9,Protective_serv,40,1
HS_grad,9,Farming_fishing,20,0
Some_college,10,Protective_serv,40,0
Bachelors,13,Sales,42,0
Assoc_acdm,12,Other_service,25,0
Bachelors,13,Prof_specialty,25,0
Bachelors,13,Exec_managerial,40,1
HS_grad,9,Other_service,40,0
Bachelors,13,Exec_managerial,40,1
11th,7,Transport_moving,30,0
HS_grad,9,Adm_clerical,40,1
11th,7,Other_service,40,0
Assoc_voc,11,Tech_support,40,1
HS_grad,9,Adm_clerical,35,0
9th,5,Craft_repair,40,0
10th,6,Other_service,24,0
Masters,14,Prof_specialty,40,1
Bachelors,13,Transport_moving,45,0
Bachelors,13,Exec_managerial,45,1
HS_grad,9,Sales,55,0
HS_grad,9,Craft_repair,40,0
Some_college,10,Sales,45,0
Assoc_acdm,12,Sales,15,0
Bachelors,13,Exec_managerial,45,1
HS_grad,9,Sales,40,0
Some_college,10,Adm_clerical,15,0
11th,7,Other_service,10,0
Assoc_voc,11,Machine_op_inspct,38,1
HS_grad,9,Machine_op_inspct,40,0
HS_grad,9,Craft_repair,40,0
Some_college,10,Adm_clerical,10,0
HS_grad,9,Craft_repair,40,0
Some_college,10,Sales,40,0
Masters,14,Exec_managerial,30,0
HS_grad,9,Sales,50,0
HS_grad,9,Transport_moving,40,0
5th_6th,3,Craft_repair,45,0
Some_college,10,Craft_repair,40,0
Some_college,10,Sales,40,0
Some_college,10,Transport_moving,40,0
HS_grad,9,Other_service,25,0
HS_grad,9,Machine_op_inspct,40,0
Some_college,10,Adm_clerical,6,1
Some_college,10,Adm_clerical,16,0
HS_grad,9,Other_service,40,0
HS_grad,9,Other_service,40,1
Bachelors,13,Craft_repair,50,0
Assoc_acdm,12,Craft_repair,40,0
HS_grad,9,Other_service,35,0
Some_college,10,Tech_support,40,0
Some_college,10,Handlers_cleaners,40,0
Bachelors,13,Exec_managerial,55,1
Bachelors,13,Exec_managerial,50,1
Some_college,10,Handlers_cleaners,40,0
Some_college,10,Other_service,40,0
Bachelors,13,Protective_serv,40,1
Assoc_voc,11,Tech_support,64,0
7th_8th,4,Handlers_cleaners,40,0
Masters,14,Exec_managerial,65,1
HS_grad,9,Adm_clerical,40,0
HS_grad,9,Craft_repair,25,0
Some_college,10,Exec_managerial,50,0
Some_college,10,Other_service,24,0
HS_grad,9,Handlers_cleaners,40,0
Some_college,10,Exec_managerial,40,0
Doctorate,16,Exec_managerial,60,1
Some_college,10,Machine_op_inspct,40,0
12th,8,Craft_repair,50,1
1st_4th,2,Machine_op_inspct,40,0
11th,7,Other_service,19,0
11th,7,Machine_op_inspct,40,0
HS_grad,9,Transport_moving,40,0
Some_college,10,Sales,30,0
11th,7,Handlers_cleaners,18,0
Bachelors,13,Exec_managerial,40,1
HS_grad,9,Farming_fishing,40,0
10th,6,Craft_repair,35,0
HS_grad,9,Transport_moving,60,0
Masters,14,Prof_specialty,40,0
HS_grad,9,Handlers_cleaners,72,0
HS_grad,9,Exec_managerial,40,1
Masters,14,Prof_specialty,40,0
Bachelors,13,Prof_specialty,40,0
Assoc_acdm,12,Other_service,25,1
Some_college,10,Craft_repair,40,0
Masters,14,Prof_specialty,50,1
HS_grad,9,Farming_fishing,60,0
Some_college,10,Protective_serv,40,0
Some_college,10,Adm_clerical,40,0
Some_college,10,Adm_clerical,40,0
Bachelors,13,Prof_specialty,40,0
HS_grad,9,Adm_clerical,28,0
HS_grad,9,Armed_Forces,40,0
Some_college,10,Prof_specialty,40,1
9th,5,Craft_repair,40,0
Some_college,10,Sales,35,0
HS_grad,9,Exec_managerial,40,0
HS_grad,9,Craft_repair,40,0
HS_grad,9,Machine_op_inspct,40,0
HS_grad,9,Machine_op_inspct,40,0
Some_college,10,Craft_repair,55,1
HS_grad,9,Craft_repair,40,1
HS_grad,9,Sales,40,1
Assoc_voc,11,Machine_op_inspct,40,1
HS_grad,9,Exec_managerial,40,0
Some_college,10,Transport_moving,50,0
HS_grad,9,Transport_moving,60,0
Assoc_acdm,12,Farming_fishing,40,0
HS_grad,9,Transport_moving,40,0
Bachelors,13,Prof_specialty,50,0
1st_4th,2,Craft_repair,40,0
Bachelors,13,Tech_support,20,0
HS_grad,9,Adm_clerical,60,0
HS_grad,9,Transport_moving,40,0
Some_college,10,Transport_moving,40,0
Masters,14,Exec_managerial,45,1
Bachelors,13,Tech_support,16,1
Some_college,10,Prof_specialty,40,1
HS_grad,9,Craft_repair,40,0
HS_grad,9,Transport_moving,60,0
Assoc_voc,11,Other_service,24,0
Bachelors,13,Craft_repair,40,0
9th,5,Other_service,6,0
Some_college,10,Handlers_cleaners,30,0
10th,6,Other_service,40,0
HS_grad,9,Other_service,35,0
Assoc_acdm,12,Craft_repair,45,0
Some_college,10,Craft_repair,20,0
Bachelors,13,Prof_specialty,20,0
HS_grad,9,Craft_repair,40,0
Some_college,10,Adm_clerical,20,0
HS_grad,9,Transport_moving,45,0
Bachelors,13,Prof_specialty,40,0
Bachelors,13,Sales,60,1
HS_grad,9,Other_service,35,0
HS_grad,9,Adm_clerical,40,0
Assoc_acdm,12,Exec_managerial,60,0
HS_grad,9,Prof_specialty,25,0
Bachelors,13,Craft_repair,20,0
HS_grad,9,Adm_clerical,36,0
Some_college,10,Machine_op_inspct,40,0
5th_6th,3,Other_service,40,0
Some_college,10,Prof_specialty,35,0
HS_grad,9,Farming_fishing,40,0
HS_grad,9,Transport_moving,40,0
Some_college,10,Adm_clerical,40,0
Some_college,10,Other_service,42,0
Bachelors,13,Sales,40,0
Bachelors,13,Exec_managerial,40,0
Some_college,10,Protective_serv,8,0
Some_college,10,Exec_managerial,40,0
HS_grad,9,Adm_clerical,40,0
HS_grad,9,Other_service,40,0
Assoc_voc,11,Handlers_cleaners,42,0
Assoc_voc,11,Craft_repair,45,0
Some_college,10,Prof_specialty,50,1
HS_grad,9,Craft_repair,45,0
Some_college,10,Adm_clerical,20,0
Bachelors,13,Prof_specialty,50,1
Bachelors,13,Exec_managerial,80,1
HS_grad,9,Exec_managerial,50,1
Some_college,10,Handlers_cleaners,50,0
Some_college,10,Tech_support,45,1
Some_college,10,Machine_op_inspct,58,1
Some_college,10,Sales,40,0
Bachelors,13,Exec_managerial,40,1
Some_college,10,Adm_clerical,9,0
HS_grad,9,Craft_repair,50,0
Masters,14,Prof_specialty,40,0
11th,7,Machine_op_inspct,46,0
HS_grad,9,Machine_op_inspct,40,0
HS_grad,9,Other_service,40,0
Assoc_acdm,12,Exec_managerial,50,1
Prof_school,15,Prof_specialty,48,1
12th,8,Tech_support,50,0
1st_4th,2,Priv_house_serv,30,0
Assoc_voc,11,Craft_repair,40,0
Bachelors,13,Farming_fishing,45,0
Some_college,10,Transport_moving,40,0
Doctorate,16,Prof_specialty,40,0
Some_college,10,Handlers_cleaners,40,0
HS_grad,9,Transport_moving,40,0
Some_college,10,Sales,50,0
HS_grad,9,Handlers_cleaners,45,0
10th,6,Other_service,8,0
Some_college,10,Protective_serv,40,0
HS_grad,9,Handlers_cleaners,36,0
Some_college,10,Craft_repair,40,0
Some_college,10,Exec_managerial,50,0
HS_grad,9,Other_service,40,0
11th,7,Adm_clerical,40,0
HS_grad,9,Machine_op_inspct,40,0
Assoc_voc,11,Craft_repair,40,1
11th,7,Machine_op_inspct,40,0
HS_grad,9,Machine_op_inspct,40,0
HS_grad,9,Tech_support,32,0
11th,7,Other_service,40,0
Bachelors,13,Transport_moving,55,0
Bachelors,13,Sales,35,1
Some_college,10,Prof_specialty,50,1
HS_grad,9,Handlers_cleaners,40,0
Bachelors,13,Prof_specialty,60,1
HS_grad,9,Handlers_cleaners,48,0
Masters,14,Exec_managerial,45,0
7th_8th,4,Other_service,40,0
HS_grad,9,Craft_repair,35,0
Masters,14,Exec_managerial,42,0
HS_grad,9,Craft_repair,40,0
HS_grad,9,Prof_specialty,40,0
11th,7,Sales,12,0
Assoc_voc,11,Craft_repair,40,1
Doctorate,16,Prof_specialty,70,0
Bachelors,13,Exec_managerial,40,1
Assoc_acdm,12,Sales,35,0
Bachelors,13,Prof_specialty,40,0
Some_college,10,Craft_repair,45,0
HS_grad,9,Sales,40,1
HS_grad,9,Craft_repair,40,0
HS_grad,9,Machine_op_inspct,40,0
Bachelors,13,Tech_support,40,0
Some_college,10,Sales,24,0
Some_college,10,Adm_clerical,60,0
11th,7,Other_service,40,0
10th,6,Craft_repair,47,1
Bachelors,13,Prof_specialty,80,0
7th_8th,4,Transport_moving,48,1
Bachelors,13,Prof_specialty,40,1
Bachelors,13,Adm_clerical,40,0
HS_grad,9,Sales,40,0
Prof_school,15,Prof_specialty,50,1
Some_college,10,Tech_support,40,0
Bachelors,13,Prof_specialty,45,0
Bachelors,13,Tech_support,40,0
Some_college,10,Adm_clerical,28,0
7th_8th,4,Other_service,40,0
9th,5,Other_service,40,0
Assoc_acdm,12,Farming_fishing,40,0
HS_grad,9,Adm_clerical,37,0
Masters,14,Craft_repair,40,1
HS_grad,9,Craft_repair,40,0
HS_grad,9,Exec_managerial,40,0
10th,6,Other_service,21,0
Masters,14,Prof_specialty,60,0
HS_grad,9,Craft_repair,40,0
HS_grad,9,Handlers_cleaners,50,0
Bachelors,13,Prof_specialty,40,0
Bachelors,13,Other_service,20,0
HS_grad,9,Handlers_cleaners,60,0
HS_grad,9,Transport_moving,45,0
HS_grad,9,Exec_managerial,32,0
Bachelors,13,Sales,55,0
Prof_school,15,Prof_specialty,45,1
Bachelors,13,Sales,20,0
11th,7,Other_service,20,0
9th,5,Priv_house_serv,24,0
Assoc_voc,11,Transport_moving,55,0
9th,5,Handlers_cleaners,40,0
HS_grad,9,Farming_fishing,60,0
HS_grad,9,Sales,45,1
HS_grad,9,Sales,64,0
Some_college,10,Exec_managerial,40,1
Bachelors,13,Sales,26,1
Some_college,10,Other_service,40,0
10th,6,Other_service,40,0
Some_college,10,Craft_repair,60,1
Bachelors,13,Adm_clerical,40,1
HS_grad,9,Craft_repair,60,0
HS_grad,9,Other_service,14,0
Bachelors,13,Handlers_cleaners,40,0
Bachelors,13,Exec_managerial,60,1
5th_6th,3,Transport_moving,50,0
Doctorate,16,Prof_specialty,60,1
HS_grad,9,Craft_repair,55,0
HS_grad,9,Craft_repair,40,0
Some_college,10,Handlers_cleaners,40,0
Some_college,10,Sales,50,1
Some_college,10,Craft_repair,45,0
Doctorate,16,Prof_specialty,40,1
HS_grad,9,Adm_clerical,40,0
HS_grad,9,Craft_repair,15,0
Bachelors,13,Tech_support,40,1
Some_college,10,Other_service,20,0
HS_grad,9,Exec_managerial,50,0
Doctorate,16,Prof_specialty,40,1
Some_college,10,Exec_managerial,45,0
HS_grad,9,Machine_op_inspct,32,0
Some_college,10,Adm_clerical,40,0
HS_grad,9,Craft_repair,45,0
7th_8th,4,Craft_repair,35,0
HS_grad,9,Machine_op_inspct,40,1
12th,8,Handlers_cleaners,40,1
Masters,14,Sales,60,0
Some_college,10,Prof_specialty,40,0
Masters,14,Prof_specialty,38,0
Some_college,10,Sales,25,0
Assoc_acdm,12,Prof_specialty,40,1
Some_college,10,Transport_moving,40,0
HS_grad,9,Craft_repair,40,1
9th,5,Machine_op_inspct,40,0
Some_college,10,Exec_managerial,40,0
11th,7,Farming_fishing,10,0
Bachelors,13,Exec_managerial,40,1
HS_grad,9,Sales,50,1
HS_grad,9,Sales,40,0
12th,8,Other_service,16,0
Some_college,10,Adm_clerical,40,0
HS_grad,9,Craft_repair,45,0
HS_grad,9,Exec_managerial,50,0
HS_grad,9,Protective_serv,48,0
Assoc_voc,11,Craft_repair,40,1
HS_grad,9,Craft_repair,40,1
Some_college,10,Exec_managerial,40,0
11th,7,Adm_clerical,5,0
HS_grad,9,Exec_managerial,40,0
Bachelors,13,Prof_specialty,55,0
Masters,14,Exec_managerial,35,0
HS_grad,9,Other_service,30,0
Some_college,10,Farming_fishing,40,0
Some_college,10,Machine_op_inspct,45,0
Some_college,10,Prof_specialty,50,0
Some_college,10,Prof_specialty,20,0
Bachelors,13,Tech_support,20,0
Masters,14,Prof_specialty,60,1
Masters,14,Tech_support,40,1
Bachelors,13,Prof_specialty,40,0
HS_grad,9,Sales,20,0
Bachelors,13,Prof_specialty,50,0
Bachelors,13,Sales,40,0
Some_college,10,Handlers_cleaners,30,0
Some_college,10,Craft_repair,40,0
Doctorate,16,Prof_specialty,65,1
Bachelors,13,Exec_managerial,50,1
12th,8,Other_service,40,0
Some_college,10,Sales,40,0
HS_grad,9,Craft_repair,35,0
11th,7,Other_service,25,0
Bachelors,13,Prof_specialty,40,0
Some_college,10,Adm_clerical,40,0
Assoc_voc,11,Tech_support,40,0
Bachelors,13,Adm_clerical,35,0
HS_grad,9,Other_service,40,0
HS_grad,9,Machine_op_inspct,40,0
HS_grad,9,Tech_support,40,0
Some_college,10,Sales,15,0
Bachelors,13,Exec_managerial,45,1
HS_grad,9,Other_service,40,0
HS_grad,9,Craft_repair,60,0
Bachelors,13,Prof_specialty,40,0
HS_grad,9,Exec_managerial,42,1
Bachelors,13,Exec_managerial,45,1
HS_grad,9,Sales,40,0
Some_college,10,Other_service,20,0
HS_grad,9,Other_service,40,0
Some_college,10,Other_service,24,0
Some_college,10,Adm_clerical,40,0
Assoc_voc,11,Adm_clerical,45,0
Assoc_voc,11,Other_service,15,0
Some_college,10,Craft_repair,40,0
Some_college,10,Sales,36,0
Bachelors,13,Prof_specialty,50,0
HS_grad,9,Other_service,20,0
Bachelors,13,Tech_support,40,1
Some_college,10,Other_service,25,0
HS_grad,9,Transport_moving,72,0
Masters,14,Exec_managerial,50,1
Assoc_voc,11,Tech_support,40,0
12th,8,Handlers_cleaners,20,0
Bachelors,13,Prof_specialty,40,1
HS_grad,9,Transport_moving,40,1
Some_college,10,Adm_clerical,40,0
11th,7,Craft_repair,40,0
Bachelors,13,Prof_specialty,37,0
Bachelors,13,Exec_managerial,40,1
Bachelors,13,Prof_specialty,20,0
10th,6,Craft_repair,40,0
HS_grad,9,Transport_moving,50,0
HS_grad,9,Handlers_cleaners,40,0
Assoc_voc,11,Craft_repair,38,0
HS_grad,9,Transport_moving,40,1
Bachelors,13,Prof_specialty,45,0
HS_grad,9,Adm_clerical,40,1
HS_grad,9,Farming_fishing,40,0
HS_grad,9,Other_service,18,0
HS_grad,9,Adm_clerical,38,1
HS_grad,9,Protective_serv,40,0
Doctorate,16,Exec_managerial,70,1
Bachelors,13,Sales,55,1
10th,6,Other_service,42,0
Some_college,10,Other_service,40,0
Some_college,10,Sales,30,0
Bachelors,13,Sales,50,0
HS_grad,9,Machine_op_inspct,40,0
Some_college,10,Farming_fishing,38,0
5th_6th,3,Farming_fishing,32,0
HS_grad,9,Craft_repair,55,0
Assoc_voc,11,Tech_support,24,1
HS_grad,9,Sales,38,0
Assoc_voc,11,Tech_support,56,0
Some_college,10,Adm_clerical,40,0
Bachelors,13,Sales,50,1
Some_college,10,Tech_support,40,0
Assoc_voc,11,Machine_op_inspct,42,0
Assoc_voc,11,Exec_managerial,50,1
Some_college,10,Exec_managerial,60,0
Bachelors,13,Sales,55,1
Some_college,10,Adm_clerical,38,0
HS_grad,9,Farming_fishing,50,0
12th,8,Machine_op_inspct,30,0
Assoc_voc,11,Tech_support,50,1
Bachelors,13,Tech_support,40,0
HS_grad,9,Sales,40,0
HS_grad,9,Transport_moving,60,1
Some_college,10,Other_service,20,0
HS_grad,9,Machine_op_inspct,40,0
HS_grad,9,Machine_op_inspct,40,0
Masters,14,Tech_support,35,1
Bachelors,13,Exec_managerial,40,1
Assoc_acdm,12,Craft_repair,40,0
HS_grad,9,Other_service,30,0
11th,7,Farming_fishing,20,0
HS_grad,9,Adm_clerical,38,0
11th,7,Sales,20,0
HS_grad,9,Craft_repair,48,1
Bachelors,13,Prof_specialty,47,1
Bachelors,13,Prof_specialty,40,1
HS_grad,9,Transport_moving,30,0
HS_grad,9,Other_service,36,0
Some_college,10,Exec_managerial,45,0
Some_college,10,Adm_clerical,40,0
10th,6,Farming_fishing,20,0
